name,Density (g/cm3),POAV (cm3/g),a,b,c
USPEX_151,1.65618,0.134393,5.97551756,12.29320583,12.38298823
USPEX_152,2.10835,0,5.78277520,5.78277520,5.78277520
USPEX_153,2.99877,0.0770983,6.56418134,6.12084448,6.54321271
USPEX_154,3.18515,0.0824891,4.70837682,6.99244046,8.32380914
USPEX_155,3.70894,0.0587229,10.70492024,5.44636293,5.44636293
USPEX_157,3.82723,0.0117422,3.97659061,5.55659319,5.57264401
USPEX_158,2.99395,0.084183,5.90474934,6.13923039,7.15067828
USPEX_15,2.60345,0.121516,8.15818977,8.15818977,8.15818977
USPEX_160,3.33106,0.0611878,8.19511543,5.48321243,5.48321243
USPEX_162,4.47478,0.0450435,5.12468861,5.65228942,8.31551342
USPEX_163,3.39473,0.0692662,5.03064487,8.70578014,6.03439575
USPEX_166,2.04424,0.142772,11.14321274,8.81072372,7.84629022
USPEX_167,3.72086,0.0407218,8.18071514,3.96406866,8.18071514
USPEX_168,4.35346,0.0327923,6.17497148,6.42725631,6.44127213
USPEX_169,3.40941,0.059588,5.96534545,5.96534545,5.96534545
USPEX_16,3.11025,0.0790355,8.79856729,9.52724351,13.03201770
USPEX_170,4.81264,0.0224617,5.26655724,5.26456874,5.21883311
USPEX_172,2.63915,0.116924,10.15317430,7.39094266,7.84473786
USPEX_173,2.53067,0.118395,6.03681414,6.11401638,7.84555234
USPEX_174,7.42514,0.012428,7.09917288,7.09917288,4.79711682
USPEX_17,3.72007,0.0578538,10.54982162,9.03138305,9.40610082
USPEX_18,3.39148,0.0674926,9.35726921,7.92884766,12.66943426
USPEX_19,7.69969,0.0109095,5.00993713,9.12185725,5.00993713
USPEX_1,4.77851,0,7.80140248,7.80140248,7.80140248
USPEX_20,2.45412,0.167253,12.73623700,12.73623700,12.73623700
USPEX_21,4.34587,0.0530527,11.59414052,11.37521183,6.77871825
USPEX_22,4.62211,0.041189,11.34499183,12.63567539,11.65697182
USPEX_23,4.7089,0.0340589,6.96627560,16.30962706,6.83863419
USPEX_24,4.582,0.0408075,12.20513684,8.79178542,15.86846343
USPEX_25,3.73223,0.0445096,8.13156486,7.54617862,13.14467116
USPEX_26,4.22335,0.0542365,10.09770786,7.68632990,12.27947852
USPEX_27,4.00158,0.0297683,8.47111096,9.78653157,9.78653157
USPEX_29,4.07184,0.0249371,5.16348287,5.16348287,5.16348287
USPEX_2,2.1957,0.063269,4.49604907,6.35820007,6.35820007
USPEX_30,5.52578,0.025904,6.68457655,5.92986629,7.95640309
USPEX_31,5.73387,0.0187622,6.07401020,5.63807645,8.28574761
USPEX_35,2.43768,0.0907256,14.40248840,11.30580136,12.42794579
USPEX_36,2.1062,0.12958,12.70946597,19.61238658,8.95948766
USPEX_37,2.31812,0.132021,10.02533827,13.52793959,10.29890128
USPEX_38,2.39854,0.085135,10.94328687,9.46197346,10.96536737
USPEX_39,1.92211,0.23419,12.69486849,10.75251425,14.82395235
USPEX_3,1.54821,0.268077,19.96062565,6.12504148,18.67160826
USPEX_40,3.17653,0.121416,8.49855349,10.42884586,18.88935923
USPEX_41,2.08384,0.17795,9.56305395,10.32592138,17.63760939
USPEX_42,3.76465,0.0735899,9.33674782,16.08092432,9.19067452
USPEX_43,2.21437,0.152992,32.68802239,5.31256819,8.48826457
USPEX_44,2.01873,0.201176,7.53973252,10.31732410,21.86114247
USPEX_45,3.49869,0.0994086,8.57943522,16.56579473,11.88708633
USPEX_46,3.38285,0.100099,11.88082182,15.61603984,8.24828356
USPEX_47,2.40385,0.123419,12.12625859,12.21526576,12.34587409
USPEX_48,2.32706,0.139085,8.16081930,14.93852835,12.57270656
USPEX_49,2.01273,0.208394,9.46935349,18.93970083,9.46935349
USPEX_4,2.15258,0.0967585,16.03822069,7.82296516,5.25768409
USPEX_50,2.01736,0.195156,15.58842102,11.06409251,10.16425814
USPEX_51,2.2252,0.147843,8.16790225,9.84958360,19.69269207
USPEX_52,2.50582,0.196439,8.77882347,12.30228375,20.62022861
USPEX_53,2.0724,0.194992,12.75389017,8.09244264,17.27358495
USPEX_54,2.35157,0.139634,11.62118459,11.64400235,12.51306140
USPEX_55,3.566,0.0905273,13.78943327,9.53483959,14.68775403
USPEX_56,1.49834,0.218869,8.14794032,8.18721964,8.21139153
USPEX_57,2.73927,0.159765,11.42733370,9.75135079,17.56609697
USPEX_58,2.17945,0.15347,10.27858465,12.01031884,12.01031884
USPEX_59,2.27938,0.148935,17.56334482,11.62549804,7.97951878
USPEX_5,4.12033,0.0383756,4.02154922,4.02154922,9.43087238
USPEX_60,3.1554,0.11539,10.50615639,13.60164920,13.21832185
USPEX_61,2.29941,0.13921,12.16974501,7.76646920,16.57789926
USPEX_62,2.75489,0.154532,10.44461130,8.91264159,7.96804367
USPEX_63,2.61244,0.0792514,9.74796718,5.59553615,9.74796718
USPEX_64,2.52499,0.123676,10.16787323,5.22053482,11.81797948
USPEX_65,3.42387,0.0822754,8.91490671,9.06179491,7.29913646
USPEX_66,2.92857,0.0842526,9.35706659,10.01462225,5.58675116
USPEX_67,2.53939,0.108664,8.46613013,8.46613013,8.46613013
USPEX_68,2.39794,0.135691,7.08522547,9.92676244,9.92676244
USPEX_6,2.63198,0.111726,17.45780883,15.16396802,15.23333033
USPEX_70,2.1043,0.184271,8.76878986,8.76878986,8.76878986
USPEX_71,1.98924,0.204168,9.47801596,8.61328102,8.42891112
USPEX_72,2.27087,0.133544,7.54737109,14.17878990,14.17878990
USPEX_73,2.04222,0.186258,11.02830412,16.97746206,9.24913500
USPEX_74,2.25126,0.136102,11.05310760,9.36613005,14.96509250
USPEX_75,1.10155,0.593019,11.87133819,10.20155336,25.95615709
USPEX_76,2.47594,0.100253,12.29850975,6.08099689,18.51323658
USPEX_77,2.08771,0.173348,15.00217050,7.74176699,13.73737333
USPEX_78,2.29658,0.127032,13.30698660,10.99214917,11.04350546
USPEX_79,2.2104,0.140128,8.96938371,14.64220396,11.41776485
USPEX_7,2.72469,0.071641,6.67780208,8.46343784,9.98846194
USPEX_80,1.76064,0.0815953,9.41637715,7.24119906,7.60859378
USPEX_81,1.96862,0.0522397,7.94189080,10.85342989,12.70702527
USPEX_82,3.00779,0.0157923,7.78620084,9.10443107,5.53120264
USPEX_83,1.45748,0.150149,10.18338700,8.63391246,8.93730608
USPEX_84,2.71825,0.0392826,6.57173417,10.91295959,17.79654917
USPEX_85,1.65889,0.079692,5.50864512,7.89894494,7.90392473
USPEX_87,1.56542,0.0896883,7.95179530,9.61482455,9.79550180
USPEX_89,1.70526,0.0484032,4.16675409,4.16675409,4.71277019
USPEX_8,3.8657,0.0855213,9.68283218,16.18618172,4.19118211
USPEX_91,3.01383,0.0602954,9.08529159,5.56349285,5.56349285
USPEX_92,3.53978,0.073338,8.19428740,5.79695869,5.86990783
USPEX_93,2.95664,0.0613804,7.24286794,7.38632998,5.12827673
USPEX_94,2.48351,0.144304,6.95159169,6.69472227,7.72723661
USPEX_95,2.81148,0.0236459,3.95490309,3.95490309,4.18364185
USPEX_97,1.89457,0.0854862,7.07829711,10.40025596,9.80584202
USPEX_98,2.17686,0.0484091,9.86277476,5.38661518,10.53400098
USPEX_99,1.67338,0.145299,8.18247288,8.18247288,15.65403414
USPEX_9,3.23556,0.0353632,10.02077348,8.13789242,7.65417154
